title,date,views,comment_count,time,comment
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,11:11 Sounds Like MLBB Or Mobile Game
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago (edited),they should have tried the laksa there it is soooooo good (next to the wanton mee)
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,eii any1 actually notice the chicken rice shop son looks cute n handsome tho hmmm
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"2mins = 25 comments, amazing"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"13:39 not Lamborghini, it’s the koenigsegg of chicken rice

search it up if u don’t know wat that is"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I just watched after my CCA... sorry
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,That son is the tik tok dancing guy...lmao
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,7:49 thank me later.
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Finally you have featured the best chicken rice in SG ...
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,That ending 🤣🤣
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Oh no!!! The food queue! Walaaaaooooo habis.... Just when I could eat there in peace XDDDD
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Give Deekosh pun a like!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Omg why feature this chicken rice stall......it's already so crowded....damn
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,3 hours ago,i remember when i come to singapore few years back...my husband brought me to this chicken place at katong. i remember i said to him..omg this is the best chicken rice i've tried in singapore. i totally luv it..same with ryan said..the set everything is just satisfying ..super duber niceee.
